"Meldewoche";"Altersgruppen.Inz";"Inzidenz";"Anzahl"
41;"20-34";45,1136209658778;1132
41;"35-59";29,268997617715;1357
41;"60-79";16,1587434961057;440
41;"80+";18,0397090074672;150
41;"Gesamt";28,0310378790828;3679
42;"'05-09";19,669046906401;115
42;"'10-14";51,0302380196102;294
42;"00-04";20,5027076094782;131
42;"15-19";86,8820851700441;543
42;"20-34";79,2676608667235;1989
42;"35-59";53,1242012766632;2463
42;"60-79";29,3795336292832;800
42;"80+";30,1864464058285;251
42;"Gesamt";50,3324371375975;6606
43;"'05-09";57,8098943857699;338
43;"'10-14";89,5632748915607;516
43;"00-04";42,4139981844931;271
43;"15-19";132,803187276495;830
43;"20-34";139,84425438981;3509
43;"35-59";101,546382302286;4708
43;"60-79";56,7759487385897;1546
43;"80+";48,7072143201615;405
43;"Gesamt";92,519949161648;12143
44;"'05-09";80,7286099114893;472
44;"'10-14";123,930578047625;714
44;"00-04";61,6646320468276;394
44;"15-19";194,084658031793;1213
44;"20-34";200,540406979061;5032
44;"35-59";151,499955244532;7024
44;"60-79";93,0229483537178;2533
44;"80+";112,447519479879;935
44;"Gesamt";139,926613386615;18365
45;"'05-09";8,72279471501261;51
45;"'10-14";10,4143342897164;60
45;"00-04";6,88640560929039;44
45;"15-19";18,4004416105987;115
45;"20-34";21,5604849315724;541
45;"35-59";14,7099899596769;682
45;"60-79";9,95231701691967;271
45;"80+";15,3938850197054;128
45;"Gesamt";14,4688613569933;1899
49;"'05-09";0;0
49;"'10-14";0;0
49;"00-04";0;0
49;"15-19";0;0
49;"20-34";0;0
49;"35-59";0;0
49;"60-79";0;0
49;"80+";0,120264726716448;1
49;"Gesamt";0,00761920029330873;1
