"Meldewoche";"Altersgruppen.Inz";"Inzidenz";"Anzahl";"NA"
"2020";"34";"'05-09";14,88;87
"2020";"34";"'10-14";21,35;123
"2020";"34";"00-04";7,51;48
"2020";"34";"15-19";42,56;266
"2020";"34";"20-34";32,96;827
"2020";"34";"35-59";14,08;653
"2020";"34";"60-79";2,97;81
"2020";"34";"80+";2,16;18
"2020";"34";"Gesamt";16,03;2104
"2020";"35";"'05-09";16,76;98
"2020";"35";"'10-14";24,99;144
"2020";"35";"00-04";9,23;59
"2020";"35";"15-19";40;250
"2020";"35";"20-34";32,56;817
"2020";"35";"35-59";14,6;677
"2020";"35";"60-79";3,05;83
"2020";"35";"80+";3,25;27
"2020";"35";"Gesamt";16,43;2157
"2020";"36";"'05-09";17,79;104
"2020";"36";"'10-14";23,26;134
"2020";"36";"00-04";10,64;68
"2020";"36";"15-19";34,88;218
"2020";"36";"20-34";32,72;821
"2020";"36";"35-59";16,89;783
"2020";"36";"60-79";3,71;101
"2020";"36";"80+";2,29;19
"2020";"36";"Gesamt";17,13;2248
"2020";"37";"'05-09";16,42;96
"2020";"37";"'10-14";23,43;135
"2020";"37";"00-04";11,58;74
"2020";"37";"15-19";44,8;280
"2020";"37";"20-34";37,54;942
"2020";"37";"35-59";18,96;879
"2020";"37";"60-79";7,42;202
"2020";"37";"80+";6,01;50
"2020";"37";"Gesamt";20,27;2660
"2020";"38";"'05-09";17,62;103
"2020";"38";"'10-14";20,83;120
"2020";"38";"00-04";12,99;83
"2020";"38";"15-19";37,44;234
"2020";"38";"20-34";42,8;1074
"2020";"38";"35-59";21,2;983
"2020";"38";"60-79";9,81;267
"2020";"38";"80+";7,58;63
"2020";"38";"Gesamt";22,31;2928
"2020";"39";"'05-09";14,88;87
"2020";"39";"'10-14";14,58;84
"2020";"39";"00-04";11,43;73
"2020";"39";"15-19";23,36;146
"2020";"39";"20-34";31,17;782
"2020";"39";"35-59";17,79;825
"2020";"39";"60-79";8,41;229
"2020";"39";"80+";6,86;57
"2020";"39";"Gesamt";17,42;2286
"2020";"40";"'05-09";9,58;56
"2020";"40";"'10-14";13,37;77
"2020";"40";"00-04";7,36;47
"2020";"40";"15-19";28,32;177
"2020";"40";"20-34";31,24;784
"2020";"40";"35-59";18,05;837
"2020";"40";"60-79";10,14;276
"2020";"40";"80+";7,1;59
"2020";"40";"Gesamt";17,64;2315
"2020";"41";"'05-09";11,97;70
"2020";"41";"'10-14";24,65;142
"2020";"41";"00-04";14,4;92
"2020";"41";"15-19";45,92;287
"2020";"41";"20-34";45,23;1135
"2020";"41";"35-59";29,48;1367
"2020";"41";"60-79";16,31;444
"2020";"41";"80+";18,16;151
"2020";"41";"Gesamt";28,11;3690
"2020";"42";"'05-09";20,01;117
"2020";"42";"'10-14";51,2;295
"2020";"42";"00-04";20,35;130
"2020";"42";"15-19";87,04;544
"2020";"42";"20-34";79,43;1993
"2020";"42";"35-59";53,34;2473
"2020";"42";"60-79";29,45;802
"2020";"42";"80+";30,31;252
"2020";"42";"Gesamt";50,36;6609
"2020";"43";"'05-09";57,98;339
"2020";"43";"'10-14";90,08;519
"2020";"43";"00-04";42,1;269
"2020";"43";"15-19";132,8;830
"2020";"43";"20-34";140,52;3526
"2020";"43";"35-59";102,34;4745
"2020";"43";"60-79";57,22;1558
"2020";"43";"80+";49,43;411
"2020";"43";"Gesamt";92,96;12201
"2020";"44";"'05-09";83,98;491
"2020";"44";"'10-14";127,58;735
"2020";"44";"00-04";63,86;408
"2020";"44";"15-19";201,12;1257
"2020";"44";"20-34";206,6;5184
"2020";"44";"35-59";157,13;7285
"2020";"44";"60-79";96,07;2616
"2020";"44";"80+";116,54;969
"2020";"44";"Gesamt";144,46;18960
"2020";"45";"'05-09";106,9;625
"2020";"45";"'10-14";146,84;846
"2020";"45";"00-04";73,56;470
"2020";"45";"15-19";230,09;1438
"2020";"45";"20-34";252,55;6337
"2020";"45";"35-59";198,89;9221
"2020";"45";"60-79";123,8;3371
"2020";"45";"80+";168,13;1398
"2020";"45";"Gesamt";180,85;23736
"2020";"46";"'05-09";116,82;683
"2020";"46";"'10-14";170,1;980
"2020";"46";"00-04";83,73;535
"2020";"46";"15-19";259,69;1623
"2020";"46";"20-34";253,82;6369
"2020";"46";"35-59";204,56;9484
"2020";"46";"60-79";129,64;3530
"2020";"46";"80+";201,08;1672
"2020";"46";"Gesamt";189,66;24892
"2020";"47";"'05-09";139,39;815
"2020";"47";"'10-14";165,41;953
"2020";"47";"00-04";83,11;531
"2020";"47";"15-19";237,45;1484
"2020";"47";"20-34";229,87;5768
"2020";"47";"35-59";196,58;9114
"2020";"47";"60-79";126,85;3454
"2020";"47";"80+";255,32;2123
"2020";"47";"Gesamt";184,92;24270
"2020";"48";"'05-09";152,73;893
"2020";"48";"'10-14";183,81;1059
"2020";"48";"00-04";91,87;587
"2020";"48";"15-19";244,81;1530
"2020";"48";"20-34";222,66;5587
"2020";"48";"35-59";194,16;9002
"2020";"48";"60-79";125,05;3405
"2020";"48";"80+";286,23;2380
"2020";"48";"Gesamt";186,4;24464
"2020";"49";"'05-09";143,16;837
"2020";"49";"'10-14";194,05;1118
"2020";"49";"00-04";84,83;542
"2020";"49";"15-19";248,65;1554
"2020";"49";"20-34";216,88;5442
"2020";"49";"35-59";192,98;8947
"2020";"49";"60-79";127,32;3467
"2020";"49";"80+";294,17;2446
"2020";"49";"Gesamt";185,73;24376
"2020";"50";"'05-09";144,52;845
"2020";"50";"'10-14";199,09;1147
"2020";"50";"00-04";82,64;528
"2020";"50";"15-19";264,49;1653
"2020";"50";"20-34";240,63;6038
"2020";"50";"35-59";225,29;10445
"2020";"50";"60-79";156,08;4250
"2020";"50";"80+";391,82;3258
"2020";"50";"Gesamt";214,9;28205
"2020";"51";"'05-09";144,7;846
"2020";"51";"'10-14";183,99;1060
"2020";"51";"00-04";98,76;631
"2020";"51";"15-19";243,37;1521
"2020";"51";"20-34";262,99;6599
"2020";"51";"35-59";235,6;10923
"2020";"51";"60-79";170,66;4647
"2020";"51";"80+";400,24;3328
"2020";"51";"Gesamt";225,5;29596
"2020";"52";"'05-09";106,73;624
"2020";"52";"'10-14";118,38;682
"2020";"52";"00-04";66,99;428
"2020";"52";"15-19";162,56;1016
"2020";"52";"20-34";196,28;4925
"2020";"52";"35-59";183,03;8486
"2020";"52";"60-79";136,73;3723
"2020";"52";"80+";335,9;2793
"2020";"52";"Gesamt";173,24;22737
"2020";"53";"'05-09";80,9;473
"2020";"53";"'10-14";106,75;615
"2020";"53";"00-04";55,72;356
"2020";"53";"15-19";155,36;971
"2020";"53";"20-34";197,43;4954
"2020";"53";"35-59";174,47;8089
"2020";"53";"60-79";132,61;3611
"2020";"53";"80+";347,93;2893
"2020";"53";"Gesamt";167,61;21998
