"Region";"Dato";"Bekræftede tilfælde"
Syddanmark;2021-03-03;147
Hovedstaden;2021-03-04;224
Midtjylland;2021-03-04;47
Nordjylland;2021-03-04;18
Sjælland;2021-03-04;81
Syddanmark;2021-03-04;110
Hovedstaden;2021-03-05;207
Midtjylland;2021-03-05;58
Nordjylland;2021-03-05;21
Sjælland;2021-03-05;66
Syddanmark;2021-03-05;112
Hovedstaden;2021-03-06;203
Midtjylland;2021-03-06;46
Nordjylland;2021-03-06;17
Sjælland;2021-03-06;71
Syddanmark;2021-03-06;110
Hovedstaden;2021-03-07;190
Midtjylland;2021-03-07;73
Nordjylland;2021-03-07;23
Sjælland;2021-03-07;60
Syddanmark;2021-03-07;108
Hovedstaden;2021-03-08;253
Midtjylland;2021-03-08;92
Nordjylland;2021-03-08;21
Sjælland;2021-03-08;79
Syddanmark;2021-03-08;149
Hovedstaden;2021-03-09;264
Midtjylland;2021-03-09;89
Nordjylland;2021-03-09;18
Sjælland;2021-03-09;78
Syddanmark;2021-03-09;186
Hovedstaden;2021-03-10;211
Midtjylland;2021-03-10;79
Nordjylland;2021-03-10;24
Sjælland;2021-03-10;58
Syddanmark;2021-03-10;165
Hovedstaden;2021-03-11;247
Midtjylland;2021-03-11;69
Nordjylland;2021-03-11;34
Sjælland;2021-03-11;81
Syddanmark;2021-03-11;147
Hovedstaden;2021-03-12;215
Midtjylland;2021-03-12;61
Nordjylland;2021-03-12;20
Sjælland;2021-03-12;62
Syddanmark;2021-03-12;121
Hovedstaden;2021-03-13;192
Midtjylland;2021-03-13;60
Nordjylland;2021-03-13;23
Sjælland;2021-03-13;47
Syddanmark;2021-03-13;139
Hovedstaden;2021-03-14;215
Midtjylland;2021-03-14;69
Nordjylland;2021-03-14;23
Sjælland;2021-03-14;48
Syddanmark;2021-03-14;131
Hovedstaden;2021-03-15;255
Midtjylland;2021-03-15;82
Nordjylland;2021-03-15;28
Sjælland;2021-03-15;79
Syddanmark;2021-03-15;190
Hovedstaden;2021-03-16;274
Midtjylland;2021-03-16;124
Nordjylland;2021-03-16;49
Sjælland;2021-03-16;92
Syddanmark;2021-03-16;201
Hovedstaden;2021-03-17;250
Midtjylland;2021-03-17;86
Nordjylland;2021-03-17;41
Sjælland;2021-03-17;86
Syddanmark;2021-03-17;196
Hovedstaden;2021-03-18;287
Midtjylland;2021-03-18;73
Nordjylland;2021-03-18;29
Sjælland;2021-03-18;83
Syddanmark;2021-03-18;172
Hovedstaden;2021-03-19;327
Midtjylland;2021-03-19;73
Nordjylland;2021-03-19;21
Sjælland;2021-03-19;82
Syddanmark;2021-03-19;136
Hovedstaden;2021-03-20;286
Midtjylland;2021-03-20;68
Nordjylland;2021-03-20;39
Sjælland;2021-03-20;53
Syddanmark;2021-03-20;131
Hovedstaden;2021-03-21;276
Midtjylland;2021-03-21;82
Nordjylland;2021-03-21;31
Sjælland;2021-03-21;51
Syddanmark;2021-03-21;121
Hovedstaden;2021-03-22;360
Midtjylland;2021-03-22;100
Nordjylland;2021-03-22;45
Sjælland;2021-03-22;81
Syddanmark;2021-03-22;189
Hovedstaden;2021-03-23;390
Midtjylland;2021-03-23;128
Nordjylland;2021-03-23;35
Sjælland;2021-03-23;88
Syddanmark;2021-03-23;159
Hovedstaden;2021-03-24;384
Midtjylland;2021-03-24;108
Nordjylland;2021-03-24;41
Sjælland;2021-03-24;80
Syddanmark;2021-03-24;161
Hovedstaden;2021-03-25;89
Midtjylland;2021-03-25;20
Nordjylland;2021-03-25;4
Sjælland;2021-03-25;17
Syddanmark;2021-03-25;27
