"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
390;40-49;197;2021-04-06
400;40-49;88;2021-04-06
410;40-49;141;2021-04-06
420;40-49;107;2021-04-06
430;40-49;162;2021-04-06
440;40-49;99;2021-04-06
450;40-49;140;2021-04-06
461;40-49;964;2021-04-06
479;40-49;221;2021-04-06
480;40-49;103;2021-04-06
482;40-49;19;2021-04-06
492;40-49;5;2021-04-06
510;40-49;155;2021-04-06
530;40-49;110;2021-04-06
540;40-49;327;2021-04-06
550;40-49;107;2021-04-06
561;40-49;502;2021-04-06
563;40-49;11;2021-04-06
573;40-49;168;2021-04-06
575;40-49;182;2021-04-06
580;40-49;169;2021-04-06
607;40-49;206;2021-04-06
615;40-49;444;2021-04-06
621;40-49;503;2021-04-06
630;40-49;555;2021-04-06
657;40-49;326;2021-04-06
661;40-49;294;2021-04-06
665;40-49;43;2021-04-06
671;40-49;105;2021-04-06
706;40-49;117;2021-04-06
707;40-49;96;2021-04-06
710;40-49;207;2021-04-06
727;40-49;93;2021-04-06
730;40-49;417;2021-04-06
740;40-49;414;2021-04-06
741;40-49;7;2021-04-06
746;40-49;354;2021-04-06
751;40-49;1746;2021-04-06
756;40-49;159;2021-04-06
760;40-49;146;2021-04-06
766;40-49;207;2021-04-06
773;40-49;87;2021-04-06
779;40-49;125;2021-04-06
787;40-49;130;2021-04-06
791;40-49;319;2021-04-06
810;40-49;134;2021-04-06
813;40-49;182;2021-04-06
820;40-49;101;2021-04-06
825;40-49;5;2021-04-06
840;40-49;103;2021-04-06
846;40-49;156;2021-04-06
849;40-49;149;2021-04-06
851;40-49;820;2021-04-06
860;40-49;204;2021-04-06
;50-59;211;2021-04-06
011;50-59;111;2021-04-06
012;50-59;2;2021-04-06
019;50-59;8;2021-04-06
101;50-59;4448;2021-04-06
147;50-59;713;2021-04-06
151;50-59;527;2021-04-06
153;50-59;404;2021-04-06
155;50-59;131;2021-04-06
157;50-59;629;2021-04-06
159;50-59;649;2021-04-06
161;50-59;203;2021-04-06
163;50-59;326;2021-04-06
165;50-59;304;2021-04-06
167;50-59;501;2021-04-06
169;50-59;526;2021-04-06
173;50-59;394;2021-04-06
175;50-59;382;2021-04-06
183;50-59;341;2021-04-06
