ALDER;KØN;TID;INDHOLD
32;2;2011;34456
32;2;2012;33569
32;2;2013;33060
32;2;2014;31265
32;2;2015;31237
32;2;2016;31209
32;2;2017;31899
32;2;2018;33446
32;2;2019;34043
32;2;2020;34463
33;1;2010;36046
33;1;2011;34468
33;1;2012;34726
33;1;2013;33751
33;1;2014;33304
33;1;2015;31864
33;1;2016;32842
33;1;2017;32241
33;1;2018;33344
33;1;2019;34553
33;1;2020;35612
33;2;2010;35411
33;2;2011;34362
33;2;2012;34478
33;2;2013;33648
33;2;2014;33202
33;2;2015;31500
33;2;2016;31567
33;2;2017;31450
33;2;2018;32033
33;2;2019;33575
33;2;2020;34014
34;1;2010;38629
34;1;2011;36135
34;1;2012;34541
34;1;2013;34842
34;1;2014;34016
34;1;2015;33607
34;1;2016;32279
34;1;2017;33032
34;1;2018;32373
34;1;2019;33424
34;1;2020;34443
34;2;2010;38816
34;2;2011;35540
34;2;2012;34407
34;2;2013;34576
34;2;2014;33804
34;2;2015;33359
34;2;2016;31811
34;2;2017;31857
34;2;2018;31638
34;2;2019;32136
34;2;2020;33585
35;1;2010;38170
35;1;2011;38704
35;1;2012;36089
35;1;2013;34598
35;1;2014;35012
35;1;2015;34313
35;1;2016;34043
35;1;2017;32517
35;1;2018;33208
35;1;2019;32535
35;1;2020;33311
35;2;2010;38140
35;2;2011;38935
35;2;2012;35631
35;2;2013;34498
35;2;2014;34717
35;2;2015;33954
35;2;2016;33672
35;2;2017;32026
35;2;2018;32061
35;2;2019;31713
35;2;2020;32167
36;1;2010;38407
36;1;2011;38270
36;1;2012;38716
36;1;2013;36142
36;1;2014;34728
36;1;2015;35237
36;1;2016;34660
36;1;2017;34260
36;1;2018;32657
36;1;2019;33355
36;1;2020;32379
36;2;2010;38095
36;2;2011;38253
36;2;2012;38978
36;2;2013;35679
36;2;2014;34624
36;2;2015;34855
36;2;2016;34236
36;2;2017;33886
36;2;2018;32185
36;2;2019;32171
36;2;2020;31710
37;1;2010;39964
37;1;2011;38418
37;1;2012;38261
37;1;2013;38717
37;1;2014;36254
37;1;2015;34979
37;1;2016;35528
37;1;2017;34860
37;1;2018;34281
37;1;2019;32680
37;1;2020;33255
37;2;2010;39846
37;2;2011;38176
37;2;2012;38279
37;2;2013;39081
37;2;2014;35811
37;2;2015;34791
37;2;2016;35108
37;2;2017;34399
37;2;2018;34016
37;2;2019;32245
37;2;2020;32197
38;1;2010;40024
38;1;2011;40010
38;1;2012;38386
38;1;2013;38288
38;1;2014;38805
38;1;2015;36509
38;1;2016;35273
38;1;2017;35704
38;1;2018;34909
38;1;2019;34418
38;1;2020;32673
38;2;2010;38961
38;2;2011;39914
38;2;2012;38202
38;2;2013;38333
38;2;2014;39194
38;2;2015;35921
38;2;2016;34989
38;2;2017;35279
38;2;2018;34502
38;2;2019;34102
38;2;2020;32275
39;1;2010;38214
39;1;2011;40057
39;1;2012;39936
39;1;2013;38383
39;1;2014;38402
39;1;2015;39003
39;1;2016;36820
39;1;2017;35341
39;1;2018;35800
39;1;2019;35070
39;1;2020;34359
39;2;2010;37572
39;2;2011;39051
39;2;2012;39937
39;2;2013;38252
39;2;2014;38388
39;2;2015;39303
39;2;2016;36096
39;2;2017;35151
39;2;2018;35389
39;2;2019;34598
39;2;2020;34136
40;1;2010;38326
40;1;2011;38160
40;1;2012;39931
40;1;2013;39925
40;1;2014;38454
40;1;2015;38556
40;1;2016;39242
40;1;2017;36920
40;1;2018;35395
40;1;2019;35825
40;1;2020;34974
40;2;2010;37252
40;2;2011;37648
40;2;2012;39064
40;2;2013;39996
40;2;2014;38329
40;2;2015;38523
40;2;2016;39471
40;2;2017;36236
40;2;2018;35185
40;2;2019;35476
40;2;2020;34606
41;1;2010;39790
41;1;2011;38315
41;1;2012;38143
41;1;2013;39916
41;1;2014;39971
41;1;2015;38565
41;1;2016;38774
41;1;2017;39358
41;1;2018;36982
41;1;2019;35467
41;1;2020;35753
41;2;2010;38396
41;2;2011;37306
41;2;2012;37669
41;2;2013;39131
41;2;2014;40013
41;2;2015;38379
41;2;2016;38676
41;2;2017;39565
41;2;2018;36340
41;2;2019;35285
41;2;2020;35548
42;1;2010;42457
42;1;2011;39756
42;1;2012;38194
42;1;2013;38172
42;1;2014;39928
42;1;2015;40171
42;1;2016;38729
42;1;2017;38916
42;1;2018;39430
42;1;2019;36995
42;1;2020;35440
42;2;2010;41351
42;2;2011;38465
42;2;2012;37325
42;2;2013;37693
42;2;2014;39193
42;2;2015;40122
42;2;2016;38507
42;2;2017;38766
42;2;2018;39649
42;2;2019;36425
42;2;2020;35315
43;1;2010;45694
43;1;2011;42421
43;1;2012;39713
43;1;2013;38172
43;1;2014;38164
43;1;2015;40011
43;1;2016;40334
43;1;2017;38743
43;1;2018;38935
43;1;2019;39463
43;1;2020;36910
43;2;2010;44254
43;2;2011;41349
43;2;2012;38482
43;2;2013;37366
43;2;2014;37741
43;2;2015;39262
43;2;2016;40257
43;2;2017;38601
43;2;2018;38881
43;2;2019;39720
43;2;2020;36466
44;1;2010;44069
44;1;2011;45591
44;1;2012;42302
44;1;2013;39665
44;1;2014;38134
44;1;2015;38187
44;1;2016;40190
44;1;2017;40394
44;1;2018;38777
44;1;2019;38963
44;1;2020;39408
44;2;2010;42984
44;2;2011;44295
44;2;2012;41361
44;2;2013;38507
44;2;2014;37403
44;2;2015;37828
44;2;2016;39340
44;2;2017;40372
44;2;2018;38681
44;2;2019;38946
44;2;2020;39739
45;1;2010;43338
45;1;2011;43975
45;1;2012;45482
45;1;2013;42267
45;1;2014;39667
45;1;2015;38193
45;1;2016;38310
45;1;2017;40220
45;1;2018;40415
45;1;2019;38790
45;1;2020;38932
45;2;2010;41740
45;2;2011;42983
45;2;2012;44238
45;2;2013;41341
45;2;2014;38540
45;2;2015;37424
45;2;2016;37920
45;2;2017;39403
45;2;2018;40445
45;2;2019;38711
45;2;2020;38986
46;1;2010;42126
46;1;2011;43246
46;1;2012;43900
46;1;2013;45376
46;1;2014;42210
46;1;2015;39701
46;1;2016;38288
46;1;2017;38352
46;1;2018;40222
46;1;2019;40416
46;1;2020;38709
46;2;2010;41133
46;2;2011;41731
